                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.49305,                0.45133,                 1.0246,                0.94515,                0.82898,                0.91755,                0.80989,                0.67613,                0.60852,                 1.1873,              0.0003367,              0.0003367,              0.0003367
                     69,                0.49082,                0.44181,                 1.0175,                0.87814,                0.89263,                0.92236,                0.81799,                0.60113,                0.56574,                 1.1037,              0.0003268,              0.0003268,              0.0003268
                     70,                0.47305,                0.43119,                 1.0099,                0.90205,                 0.8204,                0.89564,                0.80672,                0.63328,                0.60415,                 1.1347,              0.0003169,              0.0003169,              0.0003169
                     71,                0.48029,                0.43537,                 1.0094,                0.89677,                0.79799,                0.87558,                0.78232,                0.69683,                0.65538,                  1.172,               0.000307,               0.000307,               0.000307
                     72,                0.48092,                0.41695,                 1.0126,                 0.8978,                0.81011,                0.88628,                0.78217,                0.74603,                0.67655,                 1.2383,              0.0002971,              0.0002971,              0.0002971
                     73,                0.45901,                0.41772,                 0.9963,                 0.8948,                0.82133,                0.89651,                0.80178,                0.65137,                0.60236,                 1.1599,              0.0002872,              0.0002872,              0.0002872
                     74,                0.47322,                0.42122,                 1.0126,                0.90767,                0.78442,                0.84052,                0.74968,                0.68357,                0.76334,                 1.1793,              0.0002773,              0.0002773,              0.0002773
                     75,                0.46625,                0.41533,                 1.0118,                0.89015,                0.88948,                 0.8974,                0.78895,                0.66586,                0.68827,                 1.1698,              0.0002674,              0.0002674,              0.0002674
                     76,                0.47124,                0.41217,                 1.0067,                0.94132,                0.82011,                0.90771,                0.81924,                0.66243,                0.64233,                  1.171,              0.0002575,              0.0002575,              0.0002575
                     77,                 0.4687,                0.40796,                 1.0114,                 0.8791,                0.86245,                0.91249,                0.82527,                0.67221,                0.63067,                 1.1679,              0.0002476,              0.0002476,              0.0002476
                     78,                0.45906,                0.38841,                  1.001,                0.92406,                0.83635,                0.90941,                0.81176,                 0.7451,                 0.6581,                 1.2367,              0.0002377,              0.0002377,              0.0002377
                     79,                0.45242,                0.40878,                 1.0033,                0.89833,                0.82603,                0.89686,                0.79975,                0.71057,                0.68654,                 1.2082,              0.0002278,              0.0002278,              0.0002278
                     80,                0.46454,                0.38457,                  1.008,                0.88165,                0.81694,                0.87612,                0.76451,                0.75608,                0.74725,                 1.2558,              0.0002179,              0.0002179,              0.0002179
                     81,                0.44913,                0.38808,                0.99645,                0.92394,                 0.8336,                0.86686,                0.77883,                0.71978,                0.71558,                 1.2175,               0.000208,               0.000208,               0.000208
                     82,                0.47222,                0.38714,                 1.0108,                0.92803,                0.83363,                0.89645,                0.81373,                0.62832,                0.62303,                 1.1239,              0.0001981,              0.0001981,              0.0001981
                     83,                0.44277,                0.36786,                 0.9967,                0.90465,                0.85401,                0.90213,                0.80946,                0.66602,                0.63445,                 1.1592,              0.0001882,              0.0001882,              0.0001882
                     84,                0.43262,                0.36901,                0.99491,                0.88032,                0.85858,                0.89421,                0.79955,                 0.6239,                0.63031,                 1.1141,              0.0001783,              0.0001783,              0.0001783
                     85,                0.45037,                0.38632,                 1.0031,                0.82632,                0.89181,                0.88411,                0.80095,                0.66943,                0.64762,                 1.1597,              0.0001684,              0.0001684,              0.0001684
                     86,                0.43639,                0.35574,                0.98689,                0.86585,                0.88215,                0.90796,                0.81354,                0.65116,                 0.6173,                 1.1481,              0.0001585,              0.0001585,              0.0001585
                     87,                0.41317,                0.36943,                0.98309,                0.87674,                0.86736,                0.91009,                0.80861,                0.62838,                0.62738,                 1.1385,              0.0001486,              0.0001486,              0.0001486
                     88,                0.42209,                0.34846,                0.98756,                0.82612,                0.91548,                0.91173,                0.80915,                0.64035,                0.61747,                 1.1391,              0.0001387,              0.0001387,              0.0001387
                     89,                0.41923,                0.35802,                0.98505,                0.88964,                0.88638,                0.92187,                0.83076,                0.66661,                0.58593,                  1.185,              0.0001288,              0.0001288,              0.0001288
                     90,                0.42699,                0.36602,                0.98838,                0.88911,                0.88291,                0.91691,                0.83401,                0.63369,                0.59898,                 1.1724,              0.0001189,              0.0001189,              0.0001189
                     91,                0.31647,                 0.2682,                0.94221,                0.84685,                0.90073,                0.90601,                0.80391,                0.66854,                0.60586,                 1.1919,               0.000109,               0.000109,               0.000109
                     92,                0.29662,                0.22288,                 0.9183,                0.91757,                0.83942,                0.88418,                0.79822,                0.59193,                 0.6155,                 1.1286,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.29565,                0.22359,                0.92191,                 0.9233,                0.83742,                0.88193,                0.78807,                0.64014,                0.61553,                 1.1661,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.29102,                0.21558,                0.93187,                0.88323,                0.86471,                0.90162,                0.80068,                0.65939,                0.61774,                 1.1968,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.27217,                0.20479,                0.90259,                 0.9039,                0.87549,                0.90591,                0.81117,                 0.6334,                0.60348,                 1.1719,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.26993,                0.19909,                0.89908,                0.93986,                0.83518,                0.91017,                0.82679,                0.62559,                 0.6067,                 1.1628,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.26932,                0.20532,                0.90601,                0.88436,                0.88857,                0.92703,                0.83103,                 0.6257,                0.59731,                 1.1492,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.26781,                0.20655,                0.91365,                0.89367,                0.87659,                0.92334,                0.82628,                0.63241,                0.58553,                 1.1489,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.26953,                0.20358,                0.90687,                 0.9135,                0.86212,                0.92506,                0.83034,                0.64856,                0.57732,                 1.1717,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.26687,                0.19652,                 0.9179,                0.91302,                0.86471,                0.92491,                0.82686,                0.63748,                0.57242,                 1.1619,               1.99e-05,               1.99e-05,               1.99e-05
